task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,removed_nodes,removed_inits,failure_reason
task152,outputs\onnx\task152.onnx,outputs\candidates\identity_removed\task152_ZeroAddRemoved.onnx,9000,9000,0,7454,7454,0,0,0,no zero-add patterns found
task153,outputs\onnx\task153.onnx,outputs\candidates\identity_removed\task153_ZeroAddRemoved.onnx,3320,3320,0,799256,799256,0,0,0,no zero-add patterns found
task154,outputs\onnx\task154.onnx,outputs\candidates\identity_removed\task154_ZeroAddRemoved.onnx,4966,4966,0,7650,7650,0,0,0,no zero-add patterns found
task155,outputs\onnx\task155.onnx,outputs\candidates\identity_removed\task155_ZeroAddRemoved.onnx,311,311,0,1347,1347,0,0,0,no zero-add patterns found
task156,outputs\onnx\task156.onnx,outputs\candidates\identity_removed\task156_ZeroAddRemoved.onnx,2979,2979,0,7856,7856,0,0,0,no zero-add patterns found
task157,outputs\onnx\task157.onnx,outputs\candidates\identity_removed\task157_ZeroAddRemoved.onnx,809080,808330,-750,677188,676439,-749,2,1,
task158,outputs\onnx\task158.onnx,outputs\candidates\identity_removed\task158_ZeroAddRemoved.onnx,4613,4613,0,95337,95337,0,0,0,no zero-add patterns found
task159,outputs\onnx\task159.onnx,outputs\candidates\identity_removed\task159_ZeroAddRemoved.onnx,12549,12549,0,12966,12966,0,0,0,no zero-add patterns found
task160,outputs\onnx\task160.onnx,outputs\candidates\identity_removed\task160_ZeroAddRemoved.onnx,571,571,0,2362,2362,0,0,0,no zero-add patterns found
task161,outputs\onnx\task161.onnx,outputs\candidates\identity_removed\task161_ZeroAddRemoved.onnx,389,389,0,6008,6008,0,0,0,no zero-add patterns found
task162,outputs\onnx\task162.onnx,outputs\candidates\identity_removed\task162_ZeroAddRemoved.onnx,183,183,0,2268,2268,0,0,0,no zero-add patterns found
task163,outputs\onnx\task163.onnx,outputs\candidates\identity_removed\task163_ZeroAddRemoved.onnx,9439,9439,0,13875,13875,0,0,0,no zero-add patterns found
task164,outputs\onnx\task164.onnx,outputs\candidates\identity_removed\task164_ZeroAddRemoved.onnx,270,270,0,479,479,0,0,0,no zero-add patterns found
task165,outputs\onnx\task165.onnx,outputs\candidates\identity_removed\task165_ZeroAddRemoved.onnx,3162,3162,0,4910,4910,0,0,0,no zero-add patterns found
task166,outputs\onnx\task166.onnx,outputs\candidates\identity_removed\task166_ZeroAddRemoved.onnx,289,289,0,1628,1628,0,0,0,no zero-add patterns found
task167,outputs\onnx\task167.onnx,outputs\candidates\identity_removed\task167_ZeroAddRemoved.onnx,1562,1562,0,2375,2375,0,0,0,no zero-add patterns found
task168,outputs\onnx\task168.onnx,outputs\candidates\identity_removed\task168_ZeroAddRemoved.onnx,1505,1505,0,7297,7297,0,0,0,no zero-add patterns found
task169,outputs\onnx\task169.onnx,outputs\candidates\identity_removed\task169_ZeroAddRemoved.onnx,4799,4799,0,23816,23816,0,0,0,no zero-add patterns found
task170,outputs\onnx\task170.onnx,outputs\candidates\identity_removed\task170_ZeroAddRemoved.onnx,19255,19255,0,64849,64849,0,0,0,no zero-add patterns found
task171,outputs\onnx\task171.onnx,outputs\candidates\identity_removed\task171_ZeroAddRemoved.onnx,4550,4550,0,3825,3825,0,0,0,no zero-add patterns found
