task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,compressed_initializers,compressed_initializer_elements
task108,outputs\onnx\task108.onnx,outputs\candidates\dtype_ablation_20260609\task108_InitializerDtypeCompression.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task109,outputs\onnx\task109.onnx,outputs\candidates\dtype_ablation_20260609\task109_InitializerDtypeCompression.onnx,2541,2541,0,5491,5491,0,14,14,0,0
task110,outputs\onnx\task110.onnx,outputs\candidates\dtype_ablation_20260609\task110_InitializerDtypeCompression.onnx,4623,4623,0,21494,21494,0,51,51,0,0
task111,outputs\onnx\task111.onnx,outputs\candidates\dtype_ablation_20260609\task111_InitializerDtypeCompression.onnx,248,248,0,1457,1457,0,9,9,0,0
task112,outputs\onnx\task112.onnx,outputs\candidates\dtype_ablation_20260609\task112_InitializerDtypeCompression.onnx,564,564,0,3987,3987,0,18,18,0,0
task113,outputs\onnx\task113.onnx,outputs\candidates\dtype_ablation_20260609\task113_InitializerDtypeCompression.onnx,270,270,0,499,499,0,1,1,0,0
task114,outputs\onnx\task114.onnx,outputs\candidates\dtype_ablation_20260609\task114_InitializerDtypeCompression.onnx,934,934,0,4719,4719,0,21,21,0,0
task115,outputs\onnx\task115.onnx,outputs\candidates\dtype_ablation_20260609\task115_InitializerDtypeCompression.onnx,429,429,0,5069,5069,0,20,20,0,0
task116,outputs\onnx\task116.onnx,outputs\candidates\dtype_ablation_20260609\task116_InitializerDtypeCompression.onnx,270,270,0,479,479,0,1,1,0,0
task117,outputs\onnx\task117.onnx,outputs\candidates\dtype_ablation_20260609\task117_InitializerDtypeCompression.onnx,2113,2113,0,8103,8103,0,40,40,0,0
task118,outputs\onnx\task118.onnx,outputs\candidates\dtype_ablation_20260609\task118_InitializerDtypeCompression.onnx,9433,9433,0,160396,160396,0,39,39,0,0
task119,outputs\onnx\task119.onnx,outputs\candidates\dtype_ablation_20260609\task119_InitializerDtypeCompression.onnx,5856,3984,-1872,25915,25294,-621,27,27,13,1872
task120,outputs\onnx\task120.onnx,outputs\candidates\dtype_ablation_20260609\task120_InitializerDtypeCompression.onnx,4550,4550,0,3836,3836,0,2,2,0,0
task121,outputs\onnx\task121.onnx,outputs\candidates\dtype_ablation_20260609\task121_InitializerDtypeCompression.onnx,366,366,0,3339,3339,0,17,17,0,0
task122,outputs\onnx\task122.onnx,outputs\candidates\dtype_ablation_20260609\task122_InitializerDtypeCompression.onnx,12550,12550,0,10236,10236,0,2,2,0,0
task123,outputs\onnx\task123.onnx,outputs\candidates\dtype_ablation_20260609\task123_InitializerDtypeCompression.onnx,8497,2197,-6300,8997,2778,-6219,13,13,1,900
task124,outputs\onnx\task124.onnx,outputs\candidates\dtype_ablation_20260609\task124_InitializerDtypeCompression.onnx,3113,1013,-2100,4339,4528,189,16,16,3,300
task125,outputs\onnx\task125.onnx,outputs\candidates\dtype_ablation_20260609\task125_InitializerDtypeCompression.onnx,644,644,0,3032,3032,0,10,10,0,0
task126,outputs\onnx\task126.onnx,outputs\candidates\dtype_ablation_20260609\task126_InitializerDtypeCompression.onnx,347,347,0,2765,2765,0,11,11,0,0
