task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,removed_unused_initializers,deduplicated_initializers
task135,outputs\onnx\task135.onnx,outputs\candidates\deduplicated_all\task135_DeduplicateInitializers.onnx,54,54,0,381,381,0,3,3,0,0
task136,outputs\onnx\task136.onnx,outputs\candidates\deduplicated_all\task136_DeduplicateInitializers.onnx,2229,2229,0,4980,4980,0,17,17,0,0
task137,outputs\onnx\task137.onnx,outputs\candidates\deduplicated_all\task137_DeduplicateInitializers.onnx,2028,2028,0,3864,3864,0,9,9,0,0
task138,outputs\onnx\task138.onnx,outputs\candidates\deduplicated_all\task138_DeduplicateInitializers.onnx,789,789,0,11562,11562,0,11,11,0,0
task139,outputs\onnx\task139.onnx,outputs\candidates\deduplicated_all\task139_DeduplicateInitializers.onnx,988,988,0,3865,3865,0,22,22,0,0
task140,outputs\onnx\task140.onnx,outputs\candidates\deduplicated_all\task140_DeduplicateInitializers.onnx,144,144,0,474,474,0,5,5,0,0
task141,outputs\onnx\task141.onnx,outputs\candidates\deduplicated_all\task141_DeduplicateInitializers.onnx,409,409,0,2345,2345,0,10,10,0,0
task142,outputs\onnx\task142.onnx,outputs\candidates\deduplicated_all\task142_DeduplicateInitializers.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task143,outputs\onnx\task143.onnx,outputs\candidates\deduplicated_all\task143_DeduplicateInitializers.onnx,465,465,0,2690,2690,0,15,15,0,0
task144,outputs\onnx\task144.onnx,outputs\candidates\deduplicated_all\task144_DeduplicateInitializers.onnx,322,322,0,1639,1639,0,8,8,0,0
task145,outputs\onnx\task145.onnx,outputs\candidates\deduplicated_all\task145_DeduplicateInitializers.onnx,2979,2979,0,31434,31434,0,34,34,0,0
task146,outputs\onnx\task146.onnx,outputs\candidates\deduplicated_all\task146_DeduplicateInitializers.onnx,208,203,-5,1931,1894,-37,12,10,2,0
task147,outputs\onnx\task147.onnx,outputs\candidates\deduplicated_all\task147_DeduplicateInitializers.onnx,4550,4550,0,3825,3825,0,2,2,0,0
task148,outputs\onnx\task148.onnx,outputs\candidates\deduplicated_all\task148_DeduplicateInitializers.onnx,1873,1873,0,10573,10573,0,16,16,0,0
task149,outputs\onnx\task149.onnx,outputs\candidates\deduplicated_all\task149_DeduplicateInitializers.onnx,232,232,0,1404,1404,0,7,7,0,0
task150,outputs\onnx\task150.onnx,outputs\candidates\deduplicated_all\task150_DeduplicateInitializers.onnx,302,302,0,1320,1320,0,5,5,0,0
