task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,removed_unused_initializers,deduplicated_initializers
task136,outputs\reference_6275_flat\task136.onnx,outputs\candidates\ref6275_deduplicated\task136_DeduplicateInitializers.onnx,576,576,0,2827,2827,0,9,9,0,0
task137,outputs\reference_6275_flat\task137.onnx,outputs\candidates\ref6275_deduplicated\task137_DeduplicateInitializers.onnx,248,248,0,2835,2835,0,9,9,0,0
task138,outputs\reference_6275_flat\task138.onnx,outputs\candidates\ref6275_deduplicated\task138_DeduplicateInitializers.onnx,461,461,0,8806,8806,0,17,17,0,0
task139,outputs\reference_6275_flat\task139.onnx,outputs\candidates\ref6275_deduplicated\task139_DeduplicateInitializers.onnx,988,988,0,3865,3865,0,22,22,0,0
task140,outputs\reference_6275_flat\task140.onnx,outputs\candidates\ref6275_deduplicated\task140_DeduplicateInitializers.onnx,72,72,0,394,394,0,4,4,0,0
task141,outputs\reference_6275_flat\task141.onnx,outputs\candidates\ref6275_deduplicated\task141_DeduplicateInitializers.onnx,409,409,0,2345,2345,0,10,10,0,0
task142,outputs\reference_6275_flat\task142.onnx,outputs\candidates\ref6275_deduplicated\task142_DeduplicateInitializers.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task143,outputs\reference_6275_flat\task143.onnx,outputs\candidates\ref6275_deduplicated\task143_DeduplicateInitializers.onnx,441,441,0,2144,2144,0,15,15,0,0
task144,outputs\reference_6275_flat\task144.onnx,outputs\candidates\ref6275_deduplicated\task144_DeduplicateInitializers.onnx,306,306,0,1321,1321,0,9,9,0,0
task145,outputs\reference_6275_flat\task145.onnx,outputs\candidates\ref6275_deduplicated\task145_DeduplicateInitializers.onnx,2979,2979,0,19982,19982,0,34,34,0,0
task146,outputs\reference_6275_flat\task146.onnx,outputs\candidates\ref6275_deduplicated\task146_DeduplicateInitializers.onnx,203,203,0,1894,1894,0,10,10,0,0
task147,outputs\reference_6275_flat\task147.onnx,outputs\candidates\ref6275_deduplicated\task147_DeduplicateInitializers.onnx,4550,4550,0,3825,3825,0,2,2,0,0
task148,outputs\reference_6275_flat\task148.onnx,outputs\candidates\ref6275_deduplicated\task148_DeduplicateInitializers.onnx,1221,1221,0,6750,6750,0,16,16,0,0
task149,outputs\reference_6275_flat\task149.onnx,outputs\candidates\ref6275_deduplicated\task149_DeduplicateInitializers.onnx,455,455,0,859,859,0,2,2,0,0
task150,outputs\reference_6275_flat\task150.onnx,outputs\candidates\ref6275_deduplicated\task150_DeduplicateInitializers.onnx,196,196,0,618,618,0,6,6,0,0
task151,outputs\reference_6275_flat\task151.onnx,outputs\candidates\ref6275_deduplicated\task151_DeduplicateInitializers.onnx,4550,4550,0,3880,3880,0,2,2,0,0
task152,outputs\reference_6275_flat\task152.onnx,outputs\candidates\ref6275_deduplicated\task152_DeduplicateInitializers.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task153,outputs\reference_6275_flat\task153.onnx,outputs\candidates\ref6275_deduplicated\task153_DeduplicateInitializers.onnx,1149,1149,0,11725,11725,0,45,45,0,0
task154,outputs\reference_6275_flat\task154.onnx,outputs\candidates\ref6275_deduplicated\task154_DeduplicateInitializers.onnx,3318,3318,0,6366,6366,0,14,14,0,0
task155,outputs\reference_6275_flat\task155.onnx,outputs\candidates\ref6275_deduplicated\task155_DeduplicateInitializers.onnx,196,196,0,618,618,0,6,6,0,0
task156,outputs\reference_6275_flat\task156.onnx,outputs\candidates\ref6275_deduplicated\task156_DeduplicateInitializers.onnx,5888,5888,0,48746,48746,0,73,73,0,0
task157,outputs\reference_6275_flat\task157.onnx,outputs\candidates\ref6275_deduplicated\task157_DeduplicateInitializers.onnx,1887,1887,0,151146,151146,0,67,67,0,0
task158,outputs\reference_6275_flat\task158.onnx,outputs\candidates\ref6275_deduplicated\task158_DeduplicateInitializers.onnx,2147,2147,0,33661,33661,0,56,56,0,0
task159,outputs\reference_6275_flat\task159.onnx,outputs\candidates\ref6275_deduplicated\task159_DeduplicateInitializers.onnx,12549,12549,0,12822,12822,0,16,16,0,0
task160,outputs\reference_6275_flat\task160.onnx,outputs\candidates\ref6275_deduplicated\task160_DeduplicateInitializers.onnx,363,363,0,2171,2171,0,10,10,0,0
task161,outputs\reference_6275_flat\task161.onnx,outputs\candidates\ref6275_deduplicated\task161_DeduplicateInitializers.onnx,240,240,0,4323,4323,0,9,9,0,0
task162,outputs\reference_6275_flat\task162.onnx,outputs\candidates\ref6275_deduplicated\task162_DeduplicateInitializers.onnx,183,183,0,2268,2268,0,11,11,0,0
