task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,removed_unused_initializers,deduplicated_initializers
task132,outputs\current_6349_78_stack\overrides\task132.onnx,outputs\candidates\dedup_6349_78\task132_DeduplicateInitializers.onnx,366,366,0,2585,2585,0,16,16,0,0
task133,outputs\current_6349_78_stack\overrides\task133.onnx,outputs\candidates\dedup_6349_78\task133_DeduplicateInitializers.onnx,641,641,0,24395,24395,0,19,19,0,0
task134,outputs\current_6349_78_stack\overrides\task134.onnx,outputs\candidates\dedup_6349_78\task134_DeduplicateInitializers.onnx,486,486,0,4599,4599,0,26,26,0,0
task135,outputs\current_6349_78_stack\overrides\task135.onnx,outputs\candidates\dedup_6349_78\task135_DeduplicateInitializers.onnx,0,0,0,251,251,0,0,0,0,0
task136,outputs\current_6349_78_stack\overrides\task136.onnx,outputs\candidates\dedup_6349_78\task136_DeduplicateInitializers.onnx,576,576,0,2827,2827,0,9,9,0,0
task137,outputs\current_6349_78_stack\overrides\task137.onnx,outputs\candidates\dedup_6349_78\task137_DeduplicateInitializers.onnx,2008,2008,0,2684,2684,0,9,9,0,0
task138,outputs\current_6349_78_stack\overrides\task138.onnx,outputs\candidates\dedup_6349_78\task138_DeduplicateInitializers.onnx,449,449,0,5523,5523,0,17,17,0,0
task139,outputs\current_6349_78_stack\overrides\task139.onnx,outputs\candidates\dedup_6349_78\task139_DeduplicateInitializers.onnx,988,988,0,3865,3865,0,22,22,0,0
task140,outputs\current_6349_78_stack\overrides\task140.onnx,outputs\candidates\dedup_6349_78\task140_DeduplicateInitializers.onnx,72,72,0,394,394,0,4,4,0,0
task141,outputs\current_6349_78_stack\overrides\task141.onnx,outputs\candidates\dedup_6349_78\task141_DeduplicateInitializers.onnx,447,447,0,1874,1874,0,10,10,0,0
task142,outputs\current_6349_78_stack\overrides\task142.onnx,outputs\candidates\dedup_6349_78\task142_DeduplicateInitializers.onnx,437,437,0,703,703,0,3,3,0,0
task143,outputs\current_6349_78_stack\overrides\task143.onnx,outputs\candidates\dedup_6349_78\task143_DeduplicateInitializers.onnx,441,441,0,2144,2144,0,15,15,0,0
task144,outputs\current_6349_78_stack\overrides\task144.onnx,outputs\candidates\dedup_6349_78\task144_DeduplicateInitializers.onnx,306,306,0,1321,1321,0,9,9,0,0
task145,outputs\current_6349_78_stack\overrides\task145.onnx,outputs\candidates\dedup_6349_78\task145_DeduplicateInitializers.onnx,2979,2979,0,19428,19428,0,34,34,0,0
task146,outputs\current_6349_78_stack\overrides\task146.onnx,outputs\candidates\dedup_6349_78\task146_DeduplicateInitializers.onnx,203,203,0,1894,1894,0,10,10,0,0
task147,outputs\current_6349_78_stack\overrides\task147.onnx,outputs\candidates\dedup_6349_78\task147_DeduplicateInitializers.onnx,4550,4550,0,3825,3825,0,2,2,0,0
task148,outputs\current_6349_78_stack\overrides\task148.onnx,outputs\candidates\dedup_6349_78\task148_DeduplicateInitializers.onnx,1221,1221,0,6750,6750,0,16,16,0,0
task149,outputs\current_6349_78_stack\overrides\task149.onnx,outputs\candidates\dedup_6349_78\task149_DeduplicateInitializers.onnx,455,455,0,859,859,0,2,2,0,0
task150,outputs\current_6349_78_stack\overrides\task150.onnx,outputs\candidates\dedup_6349_78\task150_DeduplicateInitializers.onnx,196,196,0,618,618,0,6,6,0,0
task151,outputs\current_6349_78_stack\overrides\task151.onnx,outputs\candidates\dedup_6349_78\task151_DeduplicateInitializers.onnx,4550,4550,0,3880,3880,0,2,2,0,0
task152,outputs\current_6349_78_stack\overrides\task152.onnx,outputs\candidates\dedup_6349_78\task152_DeduplicateInitializers.onnx,437,437,0,703,703,0,3,3,0,0
task153,outputs\current_6349_78_stack\overrides\task153.onnx,outputs\candidates\dedup_6349_78\task153_DeduplicateInitializers.onnx,806,806,0,8924,8924,0,30,30,0,0
task154,outputs\current_6349_78_stack\overrides\task154.onnx,outputs\candidates\dedup_6349_78\task154_DeduplicateInitializers.onnx,3182,3182,0,4963,4963,0,14,14,0,0
task155,outputs\current_6349_78_stack\overrides\task155.onnx,outputs\candidates\dedup_6349_78\task155_DeduplicateInitializers.onnx,196,196,0,618,618,0,6,6,0,0
task156,outputs\current_6349_78_stack\overrides\task156.onnx,outputs\candidates\dedup_6349_78\task156_DeduplicateInitializers.onnx,5852,5852,0,26646,26646,0,72,72,0,0
task157,outputs\current_6349_78_stack\overrides\task157.onnx,outputs\candidates\dedup_6349_78\task157_DeduplicateInitializers.onnx,3197,3197,0,182274,182274,0,69,69,0,0
