task_id,selected_source,selected_model_path,selected_estimated_cost,selected_file_size_bytes,ref6275_valid,ref6275_estimated_cost,ref6275_file_size_bytes,ref6275_failure_reason,ref6348_base_valid,ref6348_base_estimated_cost,ref6348_base_file_size_bytes,ref6348_base_failure_reason,ref6348_overrides_valid,ref6348_overrides_estimated_cost,ref6348_overrides_file_size_bytes,ref6348_overrides_failure_reason,best_6348_source,best_6348_estimated_cost,cost_delta_6275_minus_best_6348
task141,ref6348_base,outputs\reference_6348_56_stack\base_submission\task141.onnx,409,2345,True,409,2345,,True,409,2345,,True,447,1874,,ref6348_base,409,0
task142,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task142.onnx,437,703,True,9000,7454,,True,9000,7454,,True,437,703,,ref6348_overrides,437,8563
task143,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task143.onnx,441,2144,True,441,2144,,True,465,2690,,True,441,2144,,ref6348_overrides,441,0
task144,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task144.onnx,306,1321,True,306,1321,,True,322,1639,,True,306,1321,,ref6348_overrides,306,0
task145,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task145.onnx,2979,19428,True,2979,19982,,True,2979,31434,,True,2979,19428,,ref6348_overrides,2979,0
task146,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task146.onnx,203,1894,True,203,1894,,True,208,1931,,True,203,1894,,ref6348_overrides,203,0
task147,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task147.onnx,4550,3825,True,4550,3825,,True,4550,3825,,True,4550,3825,,ref6348_overrides,4550,0
task148,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task148.onnx,1221,6750,True,1221,6750,,True,1873,10573,,True,1221,6750,,ref6348_overrides,1221,0
task149,ref6348_base,outputs\reference_6348_56_stack\base_submission\task149.onnx,232,1404,True,455,859,,True,232,1404,,True,455,859,,ref6348_base,232,223
task150,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task150.onnx,196,618,True,196,618,,True,302,1320,,True,196,618,,ref6348_overrides,196,0
