task_id,ref6275_valid_structural,ref6275_params,ref6275_memory_bytes,ref6275_estimated_cost,ref6275_estimated_score,ref6275_file_size_bytes,ref6275_file_size_ok,ref6275_node_count,ref6275_initializer_count,ref6275_forbidden_ops,ref6275_unused_initializer_count,ref6275_unused_initializer_params,ref6275_duplicate_group_count,ref6275_duplicate_saved_params,ref6275_sha256,current_valid_structural,current_params,current_memory_bytes,current_estimated_cost,current_estimated_score,current_file_size_bytes,current_file_size_ok,current_node_count,current_initializer_count,current_forbidden_ops,current_unused_initializer_count,current_unused_initializer_params,current_duplicate_group_count,current_duplicate_saved_params,current_sha256,same_sha256,cost_delta_ref_minus_current,score_delta_ref_minus_current,file_delta_ref_minus_current,cheaper_source_by_cost
task021,True,91,634,725,18.413828345145326,15197,True,214,20,,0,0,0,0,5beb7829f41e9a9f83894cd4fac28cedf6f2f32939a8e3665f2b2074d12df887,True,1860,14792,16652,15.279714391685134,38201,True,214,20,,0,0,0,0,ad3a9c687f16064647945d87ed6dafabd97fd47d1996f7b05524117c9c9ea6c2,False,-15927,3.134113953460192,-23004,ref6275
task022,True,193,868,1061,18.03303286138602,5021,True,67,25,,0,0,0,0,c97568f12ccd4cd1ba279f87d1c748542785951464273c2ab4a544bd8be6a451,True,121,410,531,18.72523797875806,43895,True,363,24,,0,0,0,0,fbbcf7777e1f706b0899071564e37bdb5c8b7d7908efc4f47c971a3953e03d07,False,530,-0.6922051173720405,-38874,current
task023,True,45,258,303,19.28626719449063,33105,True,373,16,,0,0,0,0,843b68b1f9dc9c49ab6499eb2b27cb79377266544fbb515d2c700ce581b695ed,True,20,96,116,20.246409808893635,20138,True,395,13,,0,0,0,0,90b420d9f331652a9f2c1188b0bb3002d22065b7d2713baab263b7977a138044,False,187,-0.9601426144030043,12967,current
task024,True,260,505,765,18.360124166173463,3233,True,27,11,,0,0,0,0,f8a1d671c3118abe56700d79b82cd03b36acad2b03a5453a7790ca311b792d5d,True,260,505,765,18.360124166173463,3233,True,27,11,,0,0,0,0,f8a1d671c3118abe56700d79b82cd03b36acad2b03a5453a7790ca311b792d5d,True,0,0.0,0,tie
task025,True,65,382,447,18.89744140538643,13460,True,127,28,,0,0,0,0,8af5c50b49f5d98f1afc1df69981e7ab0394291ee5227dd01d45f4380208bd61,True,143,696,839,18.267789293532793,92727,True,779,15,,0,0,0,0,c140305213c6ff308a2d60c230d5de99232b06314114c3a9df3ccfcc1ab945a2,False,-392,0.6296521118536376,-79267,ref6275
task026,True,34,176,210,19.65289246928253,1309,True,13,8,,0,0,0,0,6f2ec0df41142b092b3969907e8727615212d3cd6b747e648faaef295b4b0a1a,True,48,264,312,19.25699681219052,1622,True,11,8,,0,0,0,0,55fef566fec33039e2cd8b0d9c807e31312de241a47ce0510f3f2add6aa3c844,False,-102,0.39589565709201224,-313,ref6275
task027,True,37,292,329,19.20394224923463,2073,True,16,12,,0,0,0,0,363f142181b94485a3cc849cd11a06ce885c6f53763aefc9f8729f5fa5b408e0,True,7218,28936,36154,14.5044571284652,31135,True,22,13,,0,0,0,0,cd99565e3aecbf39b54548dda245a23f47f986f704cadf8b4eb1103c2227d324,False,-35825,4.699485120769429,-29062,ref6275
task028,True,329,528,857,18.24656208140222,2079,True,11,10,,0,0,0,0,3656aaec46a53a89d6837b351c3acb2fb0601b5492ecb0a9500654e58d536673,True,12610,50440,63050,13.948316658606934,51218,True,10,6,,0,0,0,0,ff8e899132d21f24310c765b663d1fef6199fd6490f672beeac53d97a10db770,False,-62193,4.298245422795286,-49139,ref6275
task029,True,170,808,978,18.114490329965182,13589,True,88,15,,0,0,0,0,67b2f5bba2a2aea6aec1a4bebfab5e828d34965219f8f312739337d2e77a59ce,True,170,808,978,18.114490329965182,13589,True,88,15,,0,0,0,0,25fd930dd65d6c39e3db30c12b581ca4e5dd8c8aea1ce2a272e893b8ea92fac5,False,0,0.0,0,tie
task030,True,170,754,924,18.171287928358318,7164,True,64,19,,0,0,0,0,43fd7e732de5f101746ecfc019fbfe0b26d905fa86bda27e5d84faafcc773733,True,975,4196,5171,16.44917862760378,9441,True,56,13,,0,0,0,0,76e48b2967fe619c83c5b215c89d8aee30008e2d7f263137f5af078b6135d592,False,-4247,1.7221093007545392,-2277,ref6275
task031,True,58,412,470,18.847267305295894,3417,True,26,13,,0,0,0,0,827e7229dd650485407f1ae7c8a511d8abc13716486a76f29cabbe46f1b02945,True,58,412,470,18.847267305295894,3417,True,26,13,,0,0,0,0,b90c3fc6af40739352e474797fcd60c161bf6ecf6e4312dd7060ba0ff8383f7a,False,0,0.0,0,tie
task032,True,69,340,409,18.986284843957197,2347,True,19,10,,0,0,0,0,64d66eeaba95588367af53102ecf4fb2ceb4c93327b677f80f1a9591b342f6a5,True,69,340,409,18.986284843957197,2347,True,19,10,,0,0,0,0,64d66eeaba95588367af53102ecf4fb2ceb4c93327b677f80f1a9591b342f6a5,True,0,0.0,0,tie
task033,True,49,320,369,19.089203355959473,1510,True,16,6,,0,0,0,0,60ab4cceeab38a8952d0157e862ec2f374a51c7d70c00bdecdf9833a703455b5,True,49,320,369,19.089203355959473,1510,True,16,6,,0,0,0,0,60ab4cceeab38a8952d0157e862ec2f374a51c7d70c00bdecdf9833a703455b5,True,0,0.0,0,tie
